City,Year,Precipitation
Los Angeles,2006,12.19
San Francisco,2006,20.85
San Diego,2006,6.13
Sacramento,2006,17.69
Total,2006,56.86
Los Angeles,2007,5.66
San Francisco,2007,11.53
San Diego,2007,4.57
Sacramento,2007,11.73
Total,2007,33.49
Los Angeles,2008,14.43
San Francisco,2008,15.06
San Diego,2008,11.11
Sacramento,2008,13.32
Total,2008,53.92
Los Angeles,2009,9.39
San Francisco,2009,16.45
San Diego,2009,5.49
Sacramento,2009,19.01
Total,2009,50.34
Los Angeles,2010,23.08
San Francisco,2010,23.76
San Diego,2010,15.57
Sacramento,2010,19.27
Total,2010,81.68
Los Angeles,2011,12.26
San Francisco,2011,16.59
San Diego,2011,6.31
Sacramento,2011,13.07
Total,2011,48.23
Los Angeles,2012,8.15
San Francisco,2012,21.47
San Diego,2012,4.92
Sacramento,2012,15.05
Total,2012,49.59
Los Angeles,2013,3.6
San Francisco,2013,3.4
San Diego,2013,3.26
Sacramento,2013,4.65
Total,2013,14.91
Los Angeles,2014,9.77
San Francisco,2014,20.7
San Diego,2014,6.39
Sacramento,2014,16.51
Total,2014,53.37
Los Angeles,2015,7.66
San Francisco,2015,8.33
San Diego,2015,6.24
Sacramento,2015,8.51
Total,2015,30.74
