Rank,Movie ,Opening,Gross,Genre,Sequel
14,22 Jump Street,17262.99,55960.11,Comedy,Yes
29,300: Rise of An Empire,12979.38,30538.70,Action,Yes
48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",5945.67,21480.32,Kids,No
41,Annabelle,11659.11,26212.69,Horror,No
38,Annie (2014),5090.48,26872.46,Musical,No
10,Big Hero 6,14947.06,58885.25,Kids,No
4,Captain America: The Winter Soldier,24129.94,65964.09,Superhero,Yes
11,Dawn of the Planet of the Apes,18303.86,52543.61,Action,Yes
19,Divergent,13873.92,38350.58,SciFi,No
37,Dumb and Dumber To,11449.52,27041.41,Comedy,Yes
33,Edge of Tomorrow,8240.76,28589.52,SciFi,No
50,Exodus: Gods and Kings,6884.37,18559.67,Fantasy,No
39,Fury (2014),7470.03,25903.38,Action,No
52,God's Not Dead,11816.68,32664.37,Drama,No
13,Godzilla (2014),23580.06,50778.36,Action,No
18,Gone Girl,12446.29,51086.23,Drama,No
3,Guardians of the Galaxy,23117.86,81501.13,Superhero,No
35,Heaven is for Real,9318.25,30001.07,Drama,No
46,Hercules (2014),8289.36,20219.36,Action,No
17,How to Train Your Dragon 2,11627.40,41472.10,Kids,Yes
16,Interstellar,13341.86,52799.78,SciFi,No
23,Into the Woods,12726.20,45155.12,Musical,No
44,Let's Be Cops,5757.51,26239.10,Action,No
24,Lucy,13835.28,39557.65,SciFi,No
8,Maleficent,17586.45,61147.51,Fantasy,No
28,Mr. Peabody & Sherman,8186.85,28222.33,Kids,No
20,Neighbors,14953.92,45351.07,Comedy,No
27,Night at the Museum: Secret of the Tomb,4517.97,28919.32,Kids,Yes
32,Noah,12256.93,28339.41,Drama,No
34,Non-Stop,9344.87,28956.52,Action,No
43,Penguins of Madagascar,6760.74,22047.69,Kids,Yes
21,Ride Along,15590.00,47065.99,Comedy,No
22,Rio 2,9961.47,33091.43,Kids,Yes
40,Tammy,6227.14,24394.06,Comedy,No
15,Teenage Mutant Ninja Turtles (2014),17054.64,48041.40,Action,No
12,The Amazing Spider-Man 2,21186.02,46913.49,Superhero,Yes
31,The Equalizer,10549.39,31375.38,Action,No
25,The Fault in our Stars,15128.43,37386.93,Drama,No
6,The Hobbit: The Battle of the Five Armies,14122.41,65836.54,Fantasy,Yes
2,The Hunger Games: Mockingjay - Part 1,29365.85,81217.99,SciFi,Yes
5,The LEGO Movie,18291.46,66262.39,Kids,No
30,The Maze Runner,9021.31,28154.99,SciFi,No
45,The Monuments Men,7137.02,25310.29,Action,No
51,The Nut Job,5667.64,18505.63,Kids,No
42,The Other Woman (2014),7726.60,25381.49,Comedy,No
47,The Purge: Anarchy,10629.83,25197.06,Horror,Yes
49,Think Like a Man Too,13142.43,29295.36,Comedy,Yes
7,Transformers: Age of Extinction,23632.98,57982.30,SciFi,Yes
26,Unbroken,9780.08,35031.17,Drama,No
9,X-Men: Days of Future Past,22728.64,58465.77,Superhero,Yes
